beneficiaria_id;beneficiaria_nome;id;secretaria_id;secretaria_sigla;valor_recurso;valor_repasse;ano_recurso;beneficiaria_nome_norm;match_name;match_cnpj;match_type;score;cd_natureza_juridica;natureza_juridica_desc
480;SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO;2197;19;SEDS;522190,58;43515,88;2022;SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO;SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO;58259433000146,0;Exact;1,0;3999,0;Associacao Privada
468;LAR ESPÍRITA MENSAGEIROS DA LUZ;2198;19;SEDS;134249,06;11187,42;2022;LAR ESPIRITA MENSAGEIROS DA LUZ;LAR ESPIRITA MENSAGEIROS DA LUZ - PARALISIA CEREBRAL;46781142000134,0;Substring;0,6961538461538461;3999,0;Associacao Privada
557;ASSOCIAÇÃO IN PHOCCUS DE DANÇA;2200;16;SECULT;371125,2;107213,95;2022;ASSOCIACAO IN PHOCCUS DE DANCA;ASSOCIACAO IN PHOCCUS DE DANCA;24541903000148,0;Exact;1,0;3999,0;Associacao Privada
207;FUNDAÇÃO SETTAPORT DE RESPONSABILIDADE SOCIAL E INTEGRAÇÃO PORTO CIDADE;2206;30;SEMULHER;349842,74;26163,6;2022;FUNDACAO SETTAPORT DE RESPONSABILIDADE SOCIAL E INTEGRACAO PORTO CIDADE;FUNDACAO SETTAPORT DE RESPONSABILIDADE SOCIAL E INTEGRACAO PORTO CIDADE;9474791000247,0;Exact;1,0;3069,0;Fundacao Privada
480;SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO;2209;19;SEDS;283303,85;23608,65;2022;SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO;SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO;58259433000146,0;Exact;1,0;3999,0;Associacao Privada
190;CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAÃ‡ÃƒO ESPECIAL SIMONE C HORCEL;2213;13;SMS;30000,0;30000,0;2022;CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAAAO ESPECIAL SIMONE C HORCEL;CENTRO INTERDISCIPLINAR DE EDUCACAO ESPECIAL SIMONE C HORCEL;26841083000135,0;Fuzzy;0,9147286821705426;3999,0;Associacao Privada
94;AMEM - ASSISTÊNCIA AO MENOR ENFERMO MENTAL;2214;12;SEDUC;1477131,84;356329,68;2022;AMEM - ASSISTENCIA AO MENOR ENFERMO MENTAL;ASSISTENCIA AO MENOR ENFERMO MENTAL;58257023000166,0;Substring;0,8333333333333334;3999,0;Associacao Privada
190;CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAÃ‡ÃƒO ESPECIAL SIMONE C HORCEL;2218;13;SMS;360000,0;30000,0;2022;CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAAAO ESPECIAL SIMONE C HORCEL;CENTRO INTERDISCIPLINAR DE EDUCACAO ESPECIAL SIMONE C HORCEL;26841083000135,0;Fuzzy;0,9147286821705426;3999,0;Associacao Privada
117;APAEA - ASSOCIAÇÃO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS;2222;13;SMS;77172,0;19293,0;2022;APAEA - ASSOCIACAO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS;ASSOCIACAO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS;55674782000136,0;Substring;0,8620689655172413;3999,0;Associacao Privada
16;GALP - GRUPO AMIGO DO LAR POBRE;2233;19;SEDS;146058,79;12171,57;2022;GALP - GRUPO AMIGO DO LAR POBRE;GRUPO DE APOIO A INCLUSAO SOCIAL E PROFISSIONAL;58258633000184,0;Manual (GALP);1,0;3999,0;Associacao Privada
27;APM DA UME CIDADE DE SANTOS;2236;12;SEDUC;42384,0;7064,0;2022;APM DA UME CIDADE DE SANTOS;LOJA MACONICA CIDADE DE SANTOS N 4452;55673974000128,0;Substring;0,5925925925925926;3999,0;Associacao Privada
190;CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAÃ‡ÃƒO ESPECIAL SIMONE C HORCEL;2237;13;SMS;360000,0;30000,0;2022;CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAAAO ESPECIAL SIMONE C HORCEL;CENTRO INTERDISCIPLINAR DE EDUCACAO ESPECIAL SIMONE C HORCEL;26841083000135,0;Fuzzy;0,9147286821705426;3999,0;Associacao Privada
